Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Samoa Americana,ASM,20.3813783,47.656033,54.616323,54.9893494063012,56.6374866017899,57.7435092847854,58.7655192902151,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Angola,AGO,50806.5426914,34780.6811,37396.294,38309.4651264052,40029.3921005695,40878.6519582578,41657.1648460299,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Antigua y Barbuda,ATG,372.28777,398.694259,491.89739,..,..,537.80583894233,552.747914304263,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Argentina,ARG,266555.03,331450.87,411503.63,373409.065636756,364684.253845885,372873.14375805,380295.320368897,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Armenia,ARM,24729.9166,6867.7102,12469.983,11235.0892664869,11393.0393525219,12417.7361164488,12319.3896093062,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Australia,AUS,482298.262,1081244.41,892629.27,1105167.23617132,782102.692196849,785795.149950158,761686.273857649,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Austria,AUT,79836.956,82686.748,94608.82183,89046.7550242494,94172.3509433563,92315.0525967119,90460.2102892241,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Azerbaiyán,AZE,78096.61988,42646.5596,53832.8169,49623.1778669541,50724.569637349,53982.832512624,56537.0817767984,..,..,..,..,..
